2022-02-18;22:03:35;15062;;11;;;CAUC;LB,CA;15 062,000;15 062,000;>
2022-02-18;21:59:58;15035;;1;;;;LB,CT;15 029,000;15 035,000;>
2022-02-18;21:59:58;15035;;1;;;;LB,CT;15 029,000;15 034,000;>
2022-02-18;21:59:55;15035;;2;;;;LB,CT;15 035,000;15 036,000;<
2022-02-18;21:59:55;15035;;1;;;;LB,CT;15 035,000;15 036,000;<
2022-02-18;21:59:53;15035;;1;;;;LB,CT;15 035,000;15 037,000;<
2022-02-18;21:59:50;15035;;1;;;;LB,CT;15 035,000;15 039,000;<
2022-02-18;21:59:50;15038;;1;;;;LB,CT;15 035,000;15 038,000;>
2022-02-18;21:59:49;15035;;1;;;;LB,CT;15 035,000;15 038,000;<
2022-02-18;21:59:49;15035;;1;;;;LB,CT;15 035,000;15 038,000;<
2022-02-18;21:59:49;15035;;1;;;;LB,CT;15 029,000;15 035,000;>
2022-02-18;21:59:44;15030;;1;;;;LB,CT;15 029,000;15 033,000;<
2022-02-18;21:59:40;15032;;1;;;;LB,CT;15 029,000;15 032,000;>
2022-02-18;21:59:40;15032;;1;;;;LB,CT;15 032,000;15 033,000;<
2022-02-18;21:59:40;15032;;1;;;;LB,CT;15 032,000;15 033,000;<
2022-02-18;21:59:37;15035;;1;;;;LB,CT;15 029,000;15 035,000;>
2022-02-18;21:59:37;15034;;2;;;;LB,CT;15 029,000;15 034,000;>
2022-02-18;21:59:37;15030;;1;;;;LB,CT;15 029,000;15 030,000;>
2022-02-18;21:59:36;15034;;1;;;;LB,CT;15 029,000;15 034,000;>
2022-02-18;21:59:35;15030;;1;;;;LB,CT;15 029,000;15 030,000;>
2022-02-18;21:59:35;15027;;1;;;;LB,CT;15 023,000;15 027,000;>
2022-02-18;21:59:33;15020;;1;;;;LB,CT;15 020,000;15 030,000;<
2022-02-18;21:59:33;15021;;2;;;;LB,CT;15 020,000;15 030,000;<
2022-02-18;21:59:33;15022;;1;;;;LB,CT;15 020,000;15 030,000;<
2022-02-18;21:59:33;15024;;1;;;;LB,CT;15 020,000;15 030,000;<
2022-02-18;21:59:33;15025;;7;;;;LB,CT;15 020,000;15 030,000;<
2022-02-18;21:59:33;15026;;6;;;;LB,CT;15 020,000;15 030,000;<
2022-02-18;21:59:33;15027;;2;;;;LB,CT;15 020,000;15 030,000;<
2022-02-18;21:59:32;15027;;1;;;;LB,CT;15 026,000;15 027,000;>
2022-02-18;21:59:31;15027;;2;;;;LB,CT;15 026,000;15 029,000;<
2022-02-18;21:59:30;15030;;2;;;;LB,CT;15 027,000;15 032,000;>
2022-02-18;21:59:29;15031;;1;;;;LB,CT;15 027,000;15 031,000;>
2022-02-18;21:59:29;15029;;2;;;;LB,CT;15 026,000;15 031,000;<
2022-02-18;21:59:24;15031;;1;;;;LB,CT;15 029,000;15 032,000;>
2022-02-18;21:59:22;15032;;1;;;;LB,CT;15 032,000;15 034,000;<
2022-02-18;21:59:19;15030;;1;;;;LB,CT;15 029,000;15 034,000;<
2022-02-18;21:59:19;15032;;1;;;;LB,CT;15 030,000;15 032,000;>
2022-02-18;21:59:16;15032;;1;;;;LB,CT;15 032,000;15 037,000;<
2022-02-18;21:59:16;15032;;1;;;;LB,CT;15 032,000;15 037,000;<
2022-02-18;21:59:16;15037;;1;;;;LB,CT;15 032,000;15 037,000;>
2022-02-18;21:59:16;15036;;1;;;;LB,CT;15 032,000;15 037,000;>
2022-02-18;21:59:15;15032;;1;;;;LB,CT;15 032,000;15 037,000;<
2022-02-18;21:59:12;15037;;1;;;;LB,CT;15 032,000;15 037,000;>
2022-02-18;21:59:12;15033;;1;;;;LB,CT;15 032,000;15 037,000;>
2022-02-18;21:59:10;15027;;1;;;;LB,CT;15 027,000;15 033,000;<
2022-02-18;21:59:09;15028;;1;;;;LB,CT;15 028,000;15 033,000;<
2022-02-18;21:59:02;15037;;1;;;;LB,CT;15 037,000;15 039,000;>
2022-02-18;21:59:02;15037;;1;;;;LB,CT;15 037,000;15 039,000;<
2022-02-18;21:59:00;15038;;1;;;;LB,CT;15 038,000;15 041,000;<
2022-02-18;21:59:00;15038;;2;;;;LB,CT;15 038,000;15 041,000;<
2022-02-18;21:59:00;15040;;1;;;;LB,CT;15 038,000;15 040,000;>
2022-02-18;21:59:00;15040;;2;;;;LB,CT;15 038,000;15 040,000;>
2022-02-18;21:59:00;15038;;1;;;;LB,CT;15 038,000;15 040,000;<
2022-02-18;21:58:59;15041;;1;;;;LB,CT;15 038,000;15 041,000;>
2022-02-18;21:58:59;15040;;2;;;;LB,CT;15 038,000;15 041,000;>
2022-02-18;21:58:57;15039;;1;;;;LB,CT;15 039,000;15 041,000;<
2022-02-18;21:58:57;15039;;1;;;;LB,CT;15 039,000;15 041,000;<
2022-02-18;21:58:56;15040;;1;;;;LB,CT;15 039,000;15 041,000;>
2022-02-18;21:58:52;15039;;1;;;;LB,CT;15 038,000;15 040,000;<
2022-02-18;21:58:52;15041;;2;;;;LB,CT;15 038,000;15 040,000;>
2022-02-18;21:58:52;15040;;3;;;;LB,CT;15 038,000;15 040,000;>
2022-02-18;21:58:48;15039;;1;;;;LB,CT;15 039,000;15 041,000;<
2022-02-18;21:58:48;15042;;2;;;;LB,CT;15 039,000;15 041,000;>
2022-02-18;21:58:48;15041;;1;;;;LB,CT;15 039,000;15 041,000;>
2022-02-18;21:58:47;15041;;1;;;;LB,CT;15 039,000;15 041,000;>
2022-02-18;21:58:44;15039;;1;;;;LB,CT;15 039,000;15 041,000;>
2022-02-18;21:58:44;15038;;1;;;;LB,CT;15 039,000;15 041,000;<
2022-02-18;21:58:44;15039;;1;;;;LB,CT;15 039,000;15 041,000;<
2022-02-18;21:58:37;15039;;1;;;;LB,CT;15 038,000;15 039,000;>
2022-02-18;21:58:36;15038;;2;;;;LB,CT;15 038,000;15 039,000;<
2022-02-18;21:58:33;15038;;1;;;;LB,CT;15 039,000;15 040,000;<
2022-02-18;21:58:33;15039;;1;;;;LB,CT;15 039,000;15 040,000;<
2022-02-18;21:58:32;15040;;3;;;;LB,CT;15 038,000;15 040,000;>
