2022-02-18;22:03:35;4073;;140;;;CAUC;LB,CA;4 073,000;4 073,000;<
2022-02-18;22:00:00;4066;;1;;;;LB,CT;4 066,000;4 066,500;<
2022-02-18;22:00:00;4066;;1;;;;LB,CT;4 066,000;4 066,500;<
2022-02-18;21:59:59;4066,5;;1;;;;LB,CT;4 066,000;4 066,500;>
2022-02-18;21:59:59;4066,5;;2;;;;LB,CT;4 066,000;4 066,500;>
2022-02-18;21:59:59;4066,5;;1;;;;LB,CT;4 066,000;4 066,500;>
2022-02-18;21:59:57;4066;;1;;;;LB,CT;4 066,000;4 066,500;<
2022-02-18;21:59:57;4066,5;;2;;;;LB,CT;4 066,000;4 066,500;>
2022-02-18;21:59:53;4065,5;;4;;;;LB,CT;4 065,500;4 066,500;<
2022-02-18;21:59:52;4066,5;;1;;;;LB,CT;4 065,000;4 066,000;>
2022-02-18;21:59:52;4066;;14;;;;LB,CT;4 065,000;4 066,000;>
2022-02-18;21:59:51;4066;;1;;;;LB,CT;4 065,000;4 066,000;>
2022-02-18;21:59:50;4065;;4;;;;LB,CT;4 065,000;4 066,000;<
2022-02-18;21:59:50;4065;;32;;;;LB,CT;4 065,000;4 066,000;<
2022-02-18;21:59:50;4065;;2;;;;LB,CT;4 065,000;4 066,000;<
2022-02-18;21:59:49;4066;;1;;;;LB,CT;4 065,000;4 066,000;>
2022-02-18;21:59:48;4065;;4;;;;LB,CT;4 065,000;4 066,000;<
2022-02-18;21:59:46;4065;;21;;;;LB,CT;4 064,500;4 065,000;>
2022-02-18;21:59:46;4064,5;;2;;;;LB,CT;4 064,500;4 065,000;<
2022-02-18;21:59:46;4064,5;;3;;;;LB,CT;4 064,500;4 065,000;<
2022-02-18;21:59:46;4065;;1;;;;LB,CT;4 064,500;4 065,000;>
2022-02-18;21:59:44;4064,5;;4;;;;LB,CT;4 064,000;4 064,500;<
2022-02-18;21:59:44;4064,5;;65;;;;LB,CT;4 064,000;4 064,500;>
2022-02-18;21:59:42;4064,5;;9;;;;LB,CT;4 064,000;4 064,500;>
