2022-02-22;17:29:58;584,8;;3799;-;-;OTCN;OB,OF,RPRI,N;584,8;584,8;
2022-02-22;17:29:58;584,8;;83;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;387;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;126;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;703;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;120;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;1;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;191;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;1;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;175;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;147;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;564;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;343;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;1135;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;730;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;2;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;361;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;169;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;3;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;2575;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;224;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;1185;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;1;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;10;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;252;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;26;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;218;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;241;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;501;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;72;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;104;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;760;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;79;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;1731;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;146;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;240;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;64;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;6;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;406;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;16;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;263;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;174;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;414;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;136;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;15;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;322;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;32;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;1;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;19;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;58;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;372;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;5;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;1;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;448;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;6;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;1;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;13;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;45;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;1194;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;137;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;82;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;922;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;486;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;19;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;1322;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;655;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;28;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;51;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;2439;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;1720;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;25;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;690;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;6;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;1169;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;47;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;333;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;25;-;-;CROS;LB,CA;584,8;584,8;
2022-02-22;17:29:58;584,8;;366;-;-;CROS;LB,CA;584,8;584,8;
