2022-02-10;17:29:32;225,7;;606;-;-;OTCN;OB,OF,RPRI,N;225,7;225,7;
2022-02-10;17:29:32;225,7;;996;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;185;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;771;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;68;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;1257;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;218;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;418;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;469;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;681;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;420;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;841;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;154;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;265;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;260;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;175;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;593;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;230;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;98;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;42;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;129;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;157;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;365;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;206;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;1137;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;83;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;150;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;840;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;420;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;149;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;256;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;1297;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;1297;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;1297;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;883;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;39;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;217;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;150;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;119;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;64;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;141;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;53;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;77;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;609;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;198;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;488;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;2432;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;619;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;607;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;865;-;-;CROS;LB,CA;225,7;225,7;
2022-02-10;17:29:32;225,7;;9;-;-;CROS;LB,CA;225,7;225,7;
