2022-01-28;17:29:32;264,95;;8;-;-;OTCN;OB,OF,RPRI,N;264,95;264,95;
2022-01-28;17:29:32;264,95;;1;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;30;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;302;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;69;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;129;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;106;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;267;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;4;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;10;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;83;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;155;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;1029;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;165;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;774;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;208;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;734;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;53;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;973;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;331;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;1058;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;458;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;203;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;38;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;140;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;2199;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;4;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;338;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;610;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;119;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;10;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;10;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;3;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;20;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;277;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;134;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;56;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;434;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;60;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;42;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;32;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;491;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;20;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;2406;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;134;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;722;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;843;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;350;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;134;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;41;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;134;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;769;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;293;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;133;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;6;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;268;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;1604;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;165;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;2431;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;1;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;42;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;2;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;373;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;847;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;740;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;4271;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;1643;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;9274;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;14;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;1813;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;2454;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;84;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;14;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;76;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;2;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;119;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;5;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;875;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;2868;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;370;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;6171;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;2128;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;370;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;2170;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;3546;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;393;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;704;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;3937;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;3937;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;3745;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;725;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;1290;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;8511;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;394;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;738;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;738;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;3745;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;610;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;228;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;1077;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;5028;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;3745;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;1678;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;1980;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;37;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;2235;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;106;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;20;-;-;CROS;LB,CA;264,95;264,95;
2022-01-28;17:29:32;264,95;;9;-;-;CROS;LB,CA;264,95;264,95;
