2022-01-26;17:30:42;07:59:48;;246624;DNM;DNM;VWAP;OB,ON,D,N,BENC;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;2344;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;87;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;2644;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;1446;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;2004;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;299;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;1170;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;2165;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;200;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;321;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;1693;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;22;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;6787;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;1965;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;2953;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;362;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;12078;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;4;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;4;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;11;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;6;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;6;-;-;CROS;LB,CA;86,28;86,28;
2022-01-26;17:29:48;06:43:12;;40;-;-;CROS;LB,CA;86,28;86,28;
