2022-01-28;17:29:44;84,12;;5234;-;-;OTCN;OB,OF,RPRI,N;84,12;84,12;
2022-01-28;17:29:44;84,12;;1857;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;1034;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;1813;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;2796;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;2847;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;3477;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;5299;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;917;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;4;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;5332;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;304;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;180;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;3348;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;2247;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;2972;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;3436;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;3746;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;15457;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;3346;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;11279;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;8324;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;50;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;40;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;7758;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;4781;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;745;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;895;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;22;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;50;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;850;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;2155;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;5806;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;2978;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;12277;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;112;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;15250;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;30500;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;100;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;7;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;873;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;8312;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;6568;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;2956;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;72;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;618;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;16616;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;8300;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;509;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;13327;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;15789;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;25180;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;3662;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;9901;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;2649;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;2010;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;1292;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;215;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;2326;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;268;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;1643;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;2519;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;1189;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;585;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;1605;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;47;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;1;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;28758;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;1648;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;1354;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;1121;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;5722;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;11;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;6995;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;7353;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;295;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;1621;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;16561;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;635;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;8273;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;6392;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;1662;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;1274;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;15153;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;2242;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;15259;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;11342;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;6317;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;6681;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;10680;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;3602;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;3478;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;13423;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;5000;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;3000;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;15;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;47894;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;10458;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;69547;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;48206;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;6470;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;1699;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;2783;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;3737;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;9773;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;1484;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;47543;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;401;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;760;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;3992;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;98431;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;10;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;1342;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;1843;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;1429;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;3704;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;319;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;512;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;26;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;581;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;64;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;1218;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;3366;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;51;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;1924;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;119;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;157;-;-;CROS;LB,CA;84,12;84,12;
2022-01-28;17:29:44;84,12;;690;-;-;CROS;LB,CA;84,12;84,12;
