2022-02-21;17:29:45;241,4;;559;-;-;OTCN;OB,OF,RPRI,N;241,4;241,4;
2022-02-21;17:29:45;241,4;;127;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;276;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;225;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;715;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;208;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;361;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;2361;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;208;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;224;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;225;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;1147;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;370;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;278;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;400;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;169;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;398;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;235;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;162;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;393;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;124;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;1060;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;224;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;1146;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;369;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;203;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;70;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;369;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;738;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;283;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;737;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;368;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;675;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;184;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;60;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;280;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;257;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;1412;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;745;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;400;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;9;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;431;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;876;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;737;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;191;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;3022;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;187;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;644;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;73;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;2089;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;30;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;3483;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;123;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;442;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;6;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;504;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;2704;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;313;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;2;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;214;-;-;CROS;LB,CA;241,4;241,4;
2022-02-21;17:29:45;241,4;;369;-;-;CROS;LB,CA;241,4;241,4;
